26.380,848.700,47.360,5.680,1470.040
26.410,848.690,47.030,5.680,1470.130
26.490,848.700,46.690,6.240,1470.040
26.600,848.690,46.310,7.040,1470.130
26.730,848.670,45.990,7.850,1470.230
26.900,848.670,45.700,8.670,1470.230
27.080,848.680,45.440,9.390,1470.230
27.290,848.680,45.250,10.140,1470.130
27.520,848.680,44.750,10.900,1470.130
27.710,848.690,44.310,11.600,1469.940
27.880,848.690,43.960,12.520,1470.130
28.060,848.700,43.560,13.220,1470.130
28.190,848.690,43.150,13.950,1470.130
28.280,848.690,42.720,14.690,1470.130
28.370,848.690,42.430,15.260,1470.230
28.480,848.690,42.260,15.890,1470.230
28.610,848.680,42.060,16.380,1470.330
28.740,848.670,41.900,16.820,1470.330
28.840,848.670,41.880,17.170,1470.330
28.930,848.670,41.820,17.620,1470.330
29.030,848.680,41.710,18.070,1470.230
29.150,848.680,41.410,18.580,1470.230
29.290,848.670,41.050,19.110,1470.230
29.450,848.670,40.590,19.530,1470.230
29.610,848.680,40.180,19.910,1470.130
29.760,848.690,39.750,20.250,1470.040
29.910,848.690,39.430,20.700,1470.040
30.070,848.690,39.090,21.050,1470.130
30.220,848.680,38.800,21.370,1470.040
30.380,848.700,38.460,21.800,1469.850
30.550,848.720,38.100,22.050,1469.850
30.700,848.720,37.710,22.450,1469.940
30.810,848.720,37.360,22.810,1469.750
30.900,848.720,37.000,23.690,1469.750
30.970,848.720,36.740,23.990,1469.750
31.030,848.730,36.550,24.330,1469.650
31.080,848.730,36.370,24.560,1469.650
31.150,848.730,36.220,24.920,1469.850
31.240,848.720,36.090,25.140,1469.850
31.350,848.720,35.900,25.290,1469.850
31.440,848.720,35.690,25.470,1469.850
31.530,848.710,35.510,25.790,1469.940
31.610,848.700,35.330,26.000,1470.040
31.670,848.700,35.190,26.200,1470.040
31.730,848.690,35.060,26.450,1470.130
31.790,848.690,34.930,26.690,1470.130
31.850,848.690,34.850,26.690,1470.230
31.920,848.680,34.750,26.860,1470.130
31.980,848.690,34.670,26.900,1470.130
32.040,848.680,34.590,27.000,1470.230
32.070,848.670,34.470,27.270,1470.230
32.110,848.680,34.370,27.400,1470.130
32.140,848.680,34.320,27.380,1470.130
32.170,848.680,34.240,27.500,1470.330
32.180,848.670,34.180,27.590,1470.330
32.190,848.670,34.120,27.810,1470.330
32.210,848.670,34.080,27.990,1470.130
32.270,848.680,34.060,28.010,1470.130
32.330,848.670,33.980,28.160,1470.230
32.350,848.680,33.810,28.530,1470.130
32.390,848.680,33.710,28.610,1470.130
32.430,848.680,33.610,28.820,1470.230
32.440,848.680,33.550,29.120,1470.130
32.460,848.690,33.510,29.300,1470.040
32.480,848.680,33.480,29.380,1470.230
32.490,848.660,33.400,29.580,1470.330
32.500,848.660,33.350,29.700,1470.420
32.540,848.660,33.300,29.720,1470.330
32.600,848.660,33.230,29.640,1470.330
32.640,848.670,33.170,29.660,1470.330
32.690,848.670,33.100,29.640,1470.330
32.730,848.670,33.040,29.660,1470.330
32.780,848.660,32.970,29.830,1470.420
32.800,848.650,32.890,30.000,1470.420
32.820,848.650,32.850,30.000,1470.420
32.840,848.660,32.820,30.080,1470.330
32.870,848.650,32.760,30.120,1470.420
32.900,848.660,32.720,30.170,1470.420
32.920,848.650,32.660,30.120,1470.420
32.940,848.650,32.590,30.120,1470.420
32.960,848.650,32.470,30.400,1470.420
32.990,848.650,32.370,30.600,1470.420
33.030,848.660,32.300,30.600,1470.330
33.080,848.670,32.270,30.710,1470.330
33.110,848.660,32.220,30.620,1470.230
33.160,848.670,32.170,30.640,1470.330
33.200,848.660,32.100,30.730,1470.420
33.230,848.660,32.060,30.730,1470.330
33.270,848.670,32.020,30.750,1470.330
33.290,848.660,31.980,31.000,1470.330
33.280,848.660,31.910,31.270,1470.420
33.240,848.650,31.920,31.460,1470.330
33.240,848.660,31.950,31.620,1470.420
33.250,848.660,31.970,31.480,1470.330
33.230,848.660,31.980,31.780,1470.230
33.210,848.660,31.960,31.950,1470.330
33.190,848.670,31.960,32.020,1470.230
33.190,848.670,32.000,32.070,1470.130
33.180,848.680,32.020,32.170,1470.230
33.180,848.670,32.060,32.190,1470.330
33.190,848.660,32.070,32.190,1470.330
33.180,848.650,32.070,32.310,1470.420
33.180,848.660,32.080,32.240,1470.420
33.200,848.650,32.090,32.070,1470.420
33.200,848.650,32.050,32.120,1470.420
33.190,848.650,32.040,32.070,1470.420
33.180,848.650,32.050,32.220,1470.520
33.140,848.650,32.040,32.460,1470.420
33.090,848.650,32.080,32.740,1470.420
33.030,848.650,32.130,32.990,1470.520
33.000,848.650,32.190,32.860,1470.520
32.970,848.640,32.240,32.940,1470.520
32.940,848.640,32.290,32.890,1470.520
32.910,848.640,32.320,33.070,1470.520
32.870,848.640,32.370,33.040,1470.520
32.850,848.650,32.410,33.250,1470.420
32.820,848.650,32.440,33.380,1470.520
32.770,848.640,32.470,33.530,1470.520
32.710,848.640,32.510,34.020,1470.520
32.650,848.640,32.570,34.150,1470.520
32.580,848.630,32.670,34.180,1470.710
32.520,848.620,32.760,34.180,1470.710
32.480,848.630,32.850,34.180,1470.610
32.450,848.630,32.930,33.990,1470.610
32.430,848.640,32.970,33.910,1470.610
32.420,848.630,33.010,33.750,1470.610
32.420,848.630,33.050,33.690,1470.610
32.430,848.640,33.050,33.750,1470.520
32.430,848.640,32.980,34.150,1470.610
32.450,848.640,32.910,34.290,1470.420
32.460,848.650,32.850,34.590,1470.420
32.450,848.650,32.810,34.740,1470.420
32.440,848.650,32.780,34.930,1470.520
